,brand,processor_brand,processor_name,processor_gnrtn,ram_gb,ram_type,ssd,hdd,os,os_bit,graphic_card_gb,weight,warranty,Touchscreen,msoffice,Price,rating,Number of Ratings,Number of Reviews
60,1,1,1,0,2,1,4,0,2,1,0,0,0,0,0,35990,2,0,0
61,5,1,1,0,2,1,4,0,2,1,0,0,0,0,1,40200,2,48,1
62,5,1,1,0,2,1,4,0,2,0,0,0,3,0,0,40990,2,3,0
63,3,1,1,0,2,1,4,0,2,1,0,2,0,0,0,42490,2,0,0
64,7,1,0,7,2,1,0,3,2,0,0,0,3,0,0,23990,2,61,4
65,3,1,1,1,2,1,4,0,2,1,0,0,3,1,0,71999,3,97,13
66,1,1,1,1,2,1,4,0,2,1,0,0,0,0,0,39990,3,181,19
67,5,1,1,0,2,1,4,0,2,1,0,0,0,0,1,41998,3,529,39
68,1,1,1,1,2,1,4,0,2,0,0,0,3,0,0,41990,2,0,0
69,5,1,1,0,2,1,4,0,2,1,0,0,1,0,1,39999,2,0,0
70,1,1,1,0,2,1,4,0,2,0,0,0,3,0,0,39990,2,0,0
71,5,1,1,1,2,1,4,0,2,1,0,0,3,0,0,39998,3,10,1
72,4,1,1,1,2,1,4,0,2,1,0,2,0,0,1,42490,3,5205,561
73,5,1,1,0,2,1,4,0,2,0,0,0,3,0,0,41990,2,3,0
74,1,1,1,1,2,1,4,0,2,0,0,0,3,0,0,48490,2,0,0
75,4,1,1,1,2,1,4,0,2,1,0,2,0,0,1,44376,3,1090,96
76,3,1,1,1,2,1,4,0,2,0,0,0,3,0,0,43900,2,0,0
77,3,1,1,1,2,1,4,0,2,1,0,0,0,0,0,46690,2,0,0
78,5,1,1,0,2,1,4,0,2,0,0,0,3,0,0,40990,4,1,1
79,3,1,1,0,2,1,4,0,2,1,0,2,0,0,0,39990,3,44,2
80,5,1,1,1,2,1,4,0,2,1,0,2,3,0,0,43990,2,0,0
81,1,1,1,1,2,1,4,0,2,1,0,2,0,0,0,36990,3,70,9
82,3,1,1,1,3,1,4,0,2,1,0,0,0,0,0,48500,2,0,0
83,1,1,1,1,3,1,4,0,2,1,0,0,3,0,0,48990,2,0,0
84,1,1,0,7,2,4,0,3,2,0,0,0,3,0,0,23490,3,632,92
85,4,1,1,5,2,1,4,0,2,1,0,0,0,1,1,54238,3,71,8
86,1,1,1,0,3,1,6,0,2,1,0,0,0,0,0,37990,3,990,108
87,4,1,1,1,3,1,6,0,2,1,0,2,0,0,1,42990,3,158,18
88,4,1,1,1,3,1,6,0,2,1,0,2,0,0,1,42990,3,681,59
89,1,1,1,0,2,1,6,0,2,1,0,0,0,0,0,35990,3,130,12
90,1,1,1,1,3,1,6,0,2,1,0,0,0,0,0,42990,3,30,4
91,1,1,1,1,3,5,6,0,2,0,0,0,0,1,1,51990,3,6,2
92,1,1,1,1,3,1,6,0,2,1,0,0,0,0,0,48990,3,174,30
93,1,1,1,1,3,1,6,0,2,1,0,0,0,0,0,42990,3,40,7
94,5,1,1,0,3,1,6,0,2,1,0,2,0,0,0,38990,2,13,1
95,3,1,1,1,3,1,6,0,2,1,0,2,3,0,0,45990,3,184,29
96,4,1,1,0,3,1,6,0,2,1,0,2,0,0,1,42490,3,1296,126
97,4,1,1,1,3,1,6,0,2,1,0,2,0,0,1,43970,3,571,56
98,1,1,1,0,2,1,6,0,2,1,0,2,0,0,1,39990,3,2551,297
99,6,1,1,1,3,1,6,0,2,1,0,2,3,0,0,48990,3,17,3
100,4,1,1,1,3,1,6,0,2,1,0,0,0,0,1,54990,3,35,3
101,6,1,1,0,3,1,6,0,2,1,0,2,3,0,0,40990,3,118,17
102,1,1,1,1,3,1,6,0,2,1,0,2,0,0,1,41990,2,0,0
103,5,1,1,1,3,1,6,0,2,1,0,2,0,1,0,54990,3,245,34
104,1,1,1,1,3,1,6,0,2,1,0,0,0,0,1,44990,3,2058,305
105,4,1,1,1,3,1,6,0,2,1,0,0,0,0,0,41250,3,117,11
106,4,1,1,1,3,1,6,0,2,1,0,2,3,0,0,44990,2,0,0
107,1,1,1,1,3,1,6,0,2,1,0,0,0,0,0,42990,3,74,11
108,3,1,1,1,3,1,6,0,2,1,0,0,0,1,0,60790,3,10,1
109,4,1,1,1,3,1,6,0,2,1,0,0,3,0,0,45650,3,39,4
110,3,1,1,0,3,1,6,0,2,1,0,2,0,0,1,41990,2,29,7
111,3,1,1,0,3,1,6,0,2,1,0,2,0,0,0,45490,3,43,4
112,1,1,1,1,3,1,6,0,2,1,0,2,0,0,1,44990,2,0,0
113,5,1,1,1,3,1,6,0,2,1,0,2,1,0,1,42990,3,984,99
114,4,1,1,1,2,1,6,0,2,1,0,2,0,0,1,45490,3,523,66
115,4,1,1,0,2,1,6,0,2,0,0,0,3,0,0,38799,3,30,1
116,4,1,1,1,2,1,6,0,2,1,0,0,0,1,1,69267,2,0,0
117,1,1,1,1,2,1,6,0,2,1,0,0,0,0,1,51649,2,0,0
118,4,1,1,1,2,1,6,0,2,1,0,2,0,0,1,47990,3,1605,215
119,1,1,1,0,2,1,6,0,2,1,0,0,0,0,0,40990,3,4008,519
120,1,1,1,0,2,1,6,0,2,1,0,2,0,0,1,42990,3,1869,234
121,1,1,1,1,2,1,6,0,2,1,0,0,0,0,0,44890,2,7,0
122,1,1,1,0,2,1,6,0,2,1,0,0,0,0,0,41490,3,4008,519
123,4,1,1,1,2,1,6,0,2,0,0,2,0,0,0,50990,2,0,0
124,4,1,1,1,2,1,6,0,2,1,0,2,0,0,1,48900,3,1278,135
126,3,1,1,0,2,1,6,0,2,1,0,0,3,0,0,41790,2,0,0
127,5,1,1,1,2,1,6,0,2,1,0,0,0,1,1,57999,2,10,2
128,3,1,1,1,3,1,6,0,2,1,0,2,3,0,0,45930,2,0,0
129,4,1,1,1,3,1,6,0,2,1,0,0,0,1,1,55490,3,143,15
130,1,1,1,0,3,1,0,1,2,1,0,0,0,0,0,32890,2,28,4
131,5,1,1,0,3,1,0,1,2,1,0,2,0,0,1,35990,3,2124,233
132,3,1,1,1,3,1,0,1,2,1,0,2,3,0,0,42490,3,276,40
133,3,1,1,1,3,1,0,1,2,1,0,2,3,0,0,42190,2,250,21
134,3,1,1,0,3,1,0,1,2,1,0,2,0,0,1,39490,3,1917,189
135,4,1,1,1,3,1,0,1,2,1,0,2,0,0,1,43690,3,4999,490
136,1,1,1,0,2,1,0,1,2,1,0,0,0,0,0,35990,2,17,0
137,3,1,1,1,3,1,0,1,2,0,0,0,3,0,0,43800,3,17,0
138,5,1,1,0,3,1,0,1,2,0,0,0,3,0,0,38990,2,0,0
139,1,1,1,0,2,1,0,1,2,1,0,2,0,0,0,34990,2,4203,490
140,1,1,1,1,3,1,0,1,2,1,0,0,0,0,0,38900,2,13,0
141,3,1,1,0,2,1,0,1,2,1,0,2,0,0,0,39990,2,15,1
142,3,1,1,0,2,1,0,1,2,0,0,0,3,0,0,40890,3,527,46
143,5,1,1,0,2,1,0,1,2,1,0,2,0,0,0,36990,2,103,10
144,4,1,1,1,2,1,0,1,2,1,0,2,0,0,1,39990,2,324,45
145,4,1,1,1,2,1,0,1,2,1,0,2,0,0,1,41990,3,69,5
146,3,1,1,1,2,1,0,1,2,0,0,0,3,0,0,43970,2,16,0
147,4,1,1,1,2,1,0,1,2,1,0,2,0,0,0,39790,2,40,3
148,1,1,1,0,2,1,0,1,2,0,0,2,3,0,0,35590,2,12,1
149,4,1,1,0,2,1,0,1,2,1,0,2,0,0,1,36490,2,1146,175
150,1,1,1,0,2,1,0,1,2,1,0,2,0,0,1,38990,3,1850,216
151,1,1,1,0,2,1,0,1,2,0,0,2,3,0,0,33990,2,43,7
152,3,1,1,0,2,1,0,1,2,1,0,0,0,0,1,43400,3,231,26
153,1,1,0,7,2,4,0,3,2,0,0,0,3,0,0,24990,3,502,93
154,4,1,1,0,2,1,0,1,2,1,0,2,0,0,1,40750,3,1096,116
155,3,1,1,0,2,1,0,1,2,1,0,2,0,0,1,43000,3,313,35
156,1,1,1,0,2,1,0,1,2,1,0,0,3,0,0,38000,3,7,0
157,3,1,1,1,3,1,0,1,2,1,0,2,0,0,1,37990,2,265,46
158,4,1,1,4,3,1,0,1,2,1,1,0,3,0,0,49279,3,38,3
159,5,1,1,0,3,1,0,1,2,0,0,0,3,0,0,38999,2,7,2
160,1,1,1,1,3,1,0,1,2,0,0,0,3,0,0,41500,2,4,0
161,7,1,1,1,2,1,0,1,2,0,0,0,3,0,0,36999,2,0,0
162,3,1,1,1,3,1,0,1,2,0,0,0,3,0,0,42900,2,0,0
163,1,1,0,7,2,4,0,3,2,0,0,0,3,0,0,21490,2,818,113
164,3,1,1,1,3,1,0,1,2,0,0,0,3,0,0,41480,2,25,4
165,1,1,1,0,3,1,0,1,2,1,0,0,3,0,0,32990,1,12,0
166,1,1,1,1,3,1,0,1,2,1,0,0,0,0,0,38680,2,17,1
167,1,1,0,7,2,4,0,3,2,0,0,0,3,0,0,23990,3,974,170
168,3,1,1,0,3,1,0,1,2,1,0,2,3,0,0,40390,2,83,15
169,1,1,1,0,2,1,0,1,2,1,0,2,3,0,0,33990,2,31,6
170,1,1,0,7,2,4,0,3,2,0,0,0,3,0,0,20490,2,637,91
171,3,1,1,0,3,1,4,1,2,1,0,2,0,0,1,41490,4,7,5
172,3,1,1,1,3,1,4,1,2,1,0,0,3,0,0,45490,3,207,16
173,3,1,1,1,3,1,4,1,2,1,0,0,3,0,0,44490,3,844,103
174,1,1,1,1,3,1,4,1,2,1,0,0,0,0,1,41890,3,53,6
175,3,1,1,1,2,1,4,1,2,1,0,2,0,0,1,42990,3,62,7
176,7,1,1,1,3,1,4,1,2,1,0,0,3,0,0,40990,3,38,2
177,3,1,1,1,3,1,4,1,2,1,0,2,0,0,0,48990,3,724,92
178,3,1,1,1,2,1,4,1,2,1,0,2,0,0,1,43590,2,0,0
179,3,1,1,0,2,1,4,1,2,1,0,0,0,0,0,44690,3,9,0
180,1,1,1,0,2,1,4,1,2,1,0,0,3,0,0,40990,2,0,0
181,3,1,1,1,2,1,4,1,2,1,0,2,0,0,1,43990,2,0,0
183,3,1,1,0,2,1,4,1,2,1,0,2,0,0,1,41390,3,56,7
184,3,1,1,0,2,1,4,1,2,1,0,2,0,0,1,44290,2,0,0
185,3,1,1,1,2,1,4,1,2,1,0,0,0,0,0,48999,2,0,0
186,3,1,1,1,2,1,4,1,2,1,0,2,0,0,1,39990,2,170,11
187,3,1,1,0,3,1,4,1,2,1,0,2,3,0,0,46390,1,95,5
188,1,1,0,7,2,4,0,3,2,1,0,0,3,0,0,18990,2,197,25
189,1,1,0,7,2,4,0,3,2,0,0,0,3,0,0,17990,2,1180,148
190,4,1,0,7,2,1,0,3,2,1,0,0,3,0,0,26470,2,232,23
191,4,1,0,7,2,1,0,3,2,1,0,0,3,0,0,27990,2,596,65
192,5,1,0,7,2,1,0,1,2,0,0,0,3,0,0,29999,2,19,1
193,5,1,0,7,2,5,0,3,2,1,0,0,3,0,0,25990,2,84,16
194,5,1,0,7,2,4,0,3,2,0,0,0,3,0,0,16990,2,414,54
195,5,1,0,7,2,4,0,3,2,0,0,0,3,0,0,24990,1,70,16
196,7,1,2,7,3,2,0,3,2,0,2,0,3,0,0,50990,3,10966,1185
197,7,1,2,7,3,4,0,3,2,0,0,0,0,0,0,119990,3,1,1
198,7,1,2,0,3,4,0,3,0,0,0,0,3,0,0,94190,3,31,6
199,1,1,2,0,3,4,0,3,0,0,2,0,3,0,0,106167,3,1881,241
200,3,1,2,0,3,4,0,3,0,0,2,0,0,0,0,68090,0,23,4
201,3,1,2,0,3,4,0,3,0,0,0,2,0,0,0,139990,2,0,0
202,4,1,2,0,3,4,0,3,0,0,0,2,3,0,0,55990,3,818,109
203,4,1,2,0,3,4,0,3,0,0,2,0,3,0,0,102551,2,0,0
204,5,1,2,0,3,4,0,3,0,0,1,0,3,0,0,46990,3,4428,569
205,4,1,2,5,3,1,2,0,2,1,0,2,0,0,0,76012,3,129,16
206,5,1,2,1,3,1,4,0,2,1,0,0,1,0,1,49490,3,365,35
207,7,1,2,4,3,0,4,0,2,1,0,2,0,0,1,86867,3,39,3
208,1,1,2,1,3,1,4,0,2,1,0,2,0,0,0,48990,2,0,0
209,3,1,2,1,3,1,4,0,2,1,0,2,3,0,0,55990,2,3,0
210,7,1,2,5,3,0,4,0,2,1,0,2,0,1,1,81998,3,14,3
211,4,1,2,5,3,1,4,0,2,1,0,0,0,1,1,136590,2,0,0
212,7,1,2,5,3,1,4,0,2,1,0,2,0,0,0,59490,2,33,7
213,1,1,2,1,3,1,4,0,2,1,0,2,0,0,0,49800,2,0,0
214,5,1,2,1,3,1,4,0,2,1,0,0,0,0,1,61999,1,4,0
215,4,1,2,1,3,1,6,0,2,1,0,2,3,0,0,54990,3,116,15
216,4,1,2,1,3,1,6,0,2,1,0,2,0,0,0,53990,3,206,17
217,5,1,2,1,3,1,6,0,2,1,0,0,1,0,1,52990,3,300,24
218,4,1,2,1,0,1,6,0,2,1,0,2,0,0,1,67990,3,108,6
219,1,1,2,0,3,1,6,0,2,1,2,1,0,0,0,57990,3,3712,412
220,5,1,2,1,0,1,6,0,2,1,0,2,0,0,1,62300,3,825,95
221,5,1,2,1,3,1,6,0,2,1,0,2,0,0,0,52990,2,0,0
222,5,1,2,1,3,1,6,0,2,1,0,2,1,0,1,51990,3,85,4
223,5,1,2,1,0,1,6,0,2,1,0,2,3,0,0,61990,3,56,7
224,1,1,2,1,3,5,6,0,2,0,0,0,0,1,1,63990,3,10,1
225,5,1,2,1,3,1,6,0,2,1,0,0,0,0,1,65990,3,17,4
226,7,1,2,1,3,1,6,0,2,1,0,2,0,0,0,52990,3,155,20
227,5,1,2,0,3,1,6,0,2,1,0,2,0,0,0,49990,2,0,0
228,1,1,2,1,3,1,6,0,2,1,2,1,3,0,0,71990,3,91,17
229,1,1,2,0,3,1,6,0,2,1,0,0,0,0,0,47990,3,35,2
230,5,1,2,0,3,1,6,0,2,0,0,2,1,0,1,48490,3,126,13
231,1,1,2,1,3,1,6,0,2,1,2,1,3,0,0,72990,3,74,10
232,6,1,2,1,0,1,6,0,2,1,2,0,1,0,0,76990,3,75,17
233,1,1,2,1,0,1,6,0,2,1,3,1,0,0,1,89990,3,124,17
234,6,1,2,0,3,1,6,0,2,1,2,0,1,0,0,59990,3,1597,228
235,1,1,2,0,3,1,6,0,2,1,2,1,0,0,1,65990,3,3850,378
236,3,1,2,1,3,1,6,0,2,1,0,0,3,1,0,71990,3,7,1
237,3,1,2,1,3,1,6,0,2,1,0,0,3,1,0,71890,3,3,0
238,5,1,2,1,0,1,6,0,2,1,0,2,3,0,0,64990,2,0,0
239,1,1,2,1,0,1,6,0,2,1,0,0,0,0,0,65990,2,0,0
240,4,1,2,1,3,1,6,0,2,1,0,2,3,0,0,55999,3,5,1
241,1,1,2,1,0,1,6,0,2,1,2,0,0,0,0,73490,3,213,45
242,4,1,2,1,0,1,6,0,2,1,0,2,0,0,1,74490,3,10,0
243,4,1,2,1,3,1,6,0,2,1,0,2,0,0,1,58340,3,69,6
244,7,1,2,1,3,1,6,0,2,1,0,2,0,0,0,55999,3,6,0
245,3,1,2,1,0,1,6,0,2,1,0,2,3,0,0,67990,3,93,9
246,1,1,2,1,0,1,6,0,2,1,0,0,0,0,0,59990,3,11,2
247,1,1,2,1,0,1,6,0,2,1,3,0,0,0,1,82990,3,262,31
248,3,1,2,1,3,1,6,0,2,1,1,0,0,0,1,64190,2,0,0
249,3,1,2,1,0,1,6,0,2,1,0,2,3,0,0,70090,3,5,1
250,1,1,2,0,3,1,6,0,2,1,1,2,0,0,0,49990,3,45,3
251,6,1,2,1,3,1,6,0,2,1,0,2,3,0,0,55490,2,8,1
252,4,1,2,1,3,5,6,0,2,1,0,0,3,1,0,97990,4,3,1
253,1,1,2,6,3,1,6,0,2,1,2,1,0,0,1,54990,3,1681,227
254,5,1,2,1,3,1,6,0,2,1,0,2,0,0,1,59990,3,37,2
255,5,1,2,1,3,1,6,0,2,1,0,2,0,0,1,53990,3,61,2
256,4,1,2,1,0,1,6,0,2,1,0,2,0,0,1,66999,3,17,1
257,7,1,2,1,3,5,6,0,2,1,0,2,0,0,1,60990,3,17,1
258,1,1,2,0,3,1,6,0,2,1,0,2,0,0,1,47990,3,1625,152
259,4,1,2,1,3,1,6,0,2,0,0,2,0,0,1,59999,3,4,1
260,3,1,2,0,0,1,6,0,2,1,2,0,0,0,0,79990,2,0,0
261,1,1,2,0,3,1,6,0,2,1,2,1,0,0,0,63990,2,0,0
262,4,1,2,1,3,1,6,0,2,1,0,2,0,0,1,63990,3,17,1
263,1,1,2,1,0,1,6,0,2,1,0,0,0,0,0,59990,2,0,0
264,5,1,2,1,3,1,6,0,2,1,0,2,0,0,0,55990,2,0,0
266,4,1,2,1,3,1,6,0,2,1,0,2,0,0,1,63990,3,3,0
267,3,1,2,1,0,1,6,0,2,1,1,0,0,0,1,69490,2,0,0
268,3,1,2,1,0,1,6,0,2,1,0,0,0,1,1,89390,2,0,0
269,1,1,2,1,3,5,6,0,2,1,0,2,3,0,0,74990,2,0,0
270,5,1,2,1,3,1,6,0,2,1,0,0,2,1,1,64990,3,48,12
271,5,1,2,0,3,1,6,0,2,1,2,0,0,0,1,66490,3,282,36
272,3,1,2,1,0,1,6,0,2,1,1,0,0,0,1,89702,2,0,0
273,5,1,2,1,0,1,6,0,2,1,1,0,0,0,1,70990,3,67,4
274,1,1,2,1,0,1,6,0,2,1,0,0,0,1,1,58990,2,0,0
275,5,1,2,0,3,1,6,0,2,1,1,0,0,0,1,57500,2,0,0
276,3,1,2,1,3,1,6,0,2,1,1,0,0,1,1,79990,3,23,2
277,6,1,2,0,3,1,6,0,2,1,0,0,3,0,0,56541,3,677,87
278,1,1,2,1,0,1,6,0,2,1,0,2,3,0,0,59990,2,3,0
279,5,1,2,1,0,1,6,0,2,1,0,0,0,0,1,64990,3,46,4
280,3,1,2,1,3,1,6,0,2,1,0,2,0,0,0,61290,2,4,1
281,5,1,2,1,3,1,6,0,2,1,0,2,0,0,1,54990,3,9,1
282,5,1,2,1,3,1,6,0,2,1,0,0,0,0,1,59990,3,26,4
283,1,1,2,1,3,1,6,0,2,0,3,0,0,0,0,84990,4,5,0
284,4,1,2,1,3,1,6,0,2,1,0,2,0,0,1,72500,3,40,3
285,5,1,2,1,3,1,6,0,2,1,2,1,3,0,0,59990,2,44,6
286,5,1,2,1,3,1,6,0,2,1,0,0,0,1,1,87990,3,28,6
287,4,1,2,1,3,1,6,0,2,1,0,2,3,0,0,57990,3,1541,123
288,3,1,2,1,3,1,6,0,2,1,0,2,0,0,1,69490,3,72,7
289,5,1,2,1,3,1,6,0,2,1,0,0,2,1,1,68990,3,44,8
290,5,1,2,1,3,1,6,0,2,0,0,0,0,0,1,77990,3,17,2
291,1,1,2,1,3,5,6,0,2,1,0,0,0,1,0,105990,3,59,11
292,6,1,2,1,3,5,6,0,2,1,0,0,0,0,0,79990,2,0,0
293,3,1,2,1,3,1,6,0,2,1,0,2,0,0,1,55490,3,337,27
294,5,1,2,1,3,1,6,0,2,1,0,2,0,0,1,69990,3,10,2
295,1,1,2,1,3,1,6,0,2,1,0,0,0,1,1,84990,3,10,2
296,3,1,2,1,3,1,6,0,2,1,0,2,3,0,0,59990,2,31,7
297,3,1,2,0,3,5,6,0,2,1,0,2,0,0,1,111890,2,0,0
298,3,1,2,1,3,1,6,0,2,1,1,0,0,0,0,65990,3,10,0
299,1,1,2,1,3,5,6,0,2,0,0,0,0,0,1,72990,3,76,14
300,3,1,2,1,3,1,6,0,2,1,0,2,0,0,1,71090,3,44,6
301,6,1,2,1,3,1,6,0,2,1,2,0,1,0,0,74990,2,0,0
302,1,1,2,0,3,3,6,0,2,1,0,0,0,0,1,79990,3,11,3
303,6,1,2,1,3,1,6,0,2,1,0,0,0,0,0,55490,3,138,16
304,3,1,2,1,3,1,6,0,2,1,1,2,0,0,1,66490,3,199,17
305,1,1,2,1,3,1,6,0,2,1,0,0,0,0,1,53400,3,46,6
306,3,1,2,1,3,1,6,0,2,1,0,0,0,1,1,74500,3,45,5
307,3,1,2,1,3,5,6,0,2,1,0,2,0,0,1,114990,2,0,0
308,3,1,2,1,3,1,6,0,2,1,1,2,3,0,0,61990,3,35,4
309,0,1,2,0,3,5,6,0,1,1,0,0,0,0,0,159990,3,32,5
310,0,1,2,5,3,0,6,0,1,1,0,0,0,0,0,172090,3,108,13
311,6,1,2,1,3,1,6,0,2,1,2,0,3,0,0,74990,2,0,0
312,6,1,2,0,3,1,6,0,2,1,0,0,0,0,0,56490,3,814,112
313,5,1,2,0,3,1,6,0,2,1,0,2,2,0,0,147000,2,0,0
314,5,1,2,1,3,1,6,0,2,1,0,2,0,0,1,55990,3,75,9
315,4,1,2,1,3,1,6,0,2,1,2,1,0,0,1,77990,2,0,0
316,4,1,2,0,3,1,6,0,2,1,2,0,0,0,1,106490,3,3,0
317,5,1,2,1,3,1,6,0,2,0,1,0,0,0,1,70990,3,11,3
318,5,1,2,1,3,1,6,0,2,1,0,0,0,0,1,64990,3,125,11
319,7,1,2,1,3,1,6,0,2,1,0,0,0,0,0,57990,2,0,0
320,1,1,2,0,3,1,6,0,2,1,2,1,0,0,0,64990,3,4,0
321,6,1,2,0,3,1,6,0,2,1,0,0,0,0,0,54990,3,714,147
322,4,1,2,1,3,5,6,0,2,1,0,0,3,1,0,111999,2,0,0
323,5,1,2,0,3,5,6,0,2,1,1,0,0,0,1,70798,3,21,3
324,5,1,2,6,3,1,6,0,2,1,2,0,3,0,0,59990,2,9,1
325,7,1,2,5,3,1,6,0,2,1,2,0,0,0,0,99500,2,0,0
326,4,1,2,0,3,1,6,0,2,1,0,2,0,0,1,55990,3,30,4
327,1,1,2,5,3,3,6,0,2,1,0,2,0,0,0,72990,3,44,4
328,7,1,2,5,3,0,6,0,2,1,0,2,0,0,0,64990,2,4,1
329,1,1,2,1,3,1,6,0,2,1,0,2,3,0,0,57990,2,0,0
330,4,1,2,1,3,1,6,0,2,1,1,0,0,1,1,76990,3,14,2
331,5,1,2,1,3,1,6,0,2,1,0,0,1,0,1,62998,3,739,71
332,3,1,2,1,3,1,6,0,2,1,0,0,0,1,1,77990,3,31,5
333,4,1,2,0,3,1,6,0,2,1,0,0,0,1,1,114990,3,145,19
334,3,1,2,0,3,1,6,0,2,1,1,0,0,0,1,65990,2,0,0
335,3,1,2,1,3,1,6,0,2,1,1,0,0,0,1,88990,2,19,2
336,5,1,2,0,3,1,6,0,2,1,0,0,3,0,0,113590,2,0,0
337,1,1,2,1,3,5,6,0,2,1,0,0,0,1,1,73990,3,32,6
338,4,1,2,1,3,1,6,0,2,1,0,2,0,0,1,61000,3,1124,100
339,1,1,2,1,3,5,6,0,2,1,0,0,0,1,0,99990,3,35,6
